id	internal_title	primary_axis	secondary_axis	interaction_model	concept	differentiator	anticipated_ai_failure	lineage
a093	Viscous Block	deformable-material-reasoning	rate-dependence	push-and-wait	A blob behaves rigidly under rapid pushes but slowly flows under sustained pressure. The player alternates impulses and waiting to cross gaps while retaining cargo on top.	The same force produces different deformation depending on duration.	ignores-rate-dependent-material-response	gpt-seeded-anthropic-build
a094	Elastic Net	deformable-material-reasoning	distributed-tension	drag-nodes	Moving one node deforms an entire net. The player catches falling objects in marked pockets while keeping every strand below a visible tension limit.	Local manipulation has global smooth effects and distributed constraints.	optimizes-contact-point-only	gpt-seeded-anthropic-build
a095	Plastic Trail	deformable-material-reasoning	yield-threshold	roll-load	A soft roadway springs back under light rollers but permanently dents under heavy ones. The player uses chosen loads to sculpt ramps without making impassable pits.	Elastic and permanent deformation coexist around a learnable yield threshold.	assumes-all-deformation-has-same-reversibility	gpt-seeded-anthropic-build
a096	Shape Recovery	deformable-material-reasoning	stored-strain	release-constraints	Compressed pieces are held by removable pins and expand along constrained paths when released. The player orders releases so recovering shapes push one another into sockets rather than jam.	Stored deformation becomes an actuator whose effect depends on release order and confinement.	models-release-as-passive-state-change	gpt-seeded-anthropic-build
a097	Standing Room	wave-boundary-and-superposition	standing-waves	place-boundaries	A pulse reflects between movable walls. The player adjusts wall spacing so stable bright antinodes land on several receivers while dark nodes protect fragile tiles.	Success depends on a spatial standing-wave pattern, not routing a ray to endpoints.	traces-single-pulse-and-misses-superposition	gpt-seeded-anthropic-build
a098	Boundary Echo	wave-boundary-and-superposition	reflection-type	probe-materials	Pulses reflect with or without color inversion depending on hidden wall material revealed only through returned echoes. The player diagnoses boundaries and schedules a final pulse that cancels at one branch and reinforces at another.	Boundary conditions alter phase, so equal path length does not imply equal arrival effect.	ignores-phase-change-at-reflection	gpt-seeded-anthropic-build
a099	Phase Cancel	wave-boundary-and-superposition	destructive-interference	time-sources	Two sources emit identical waves. The player offsets their start phases to suppress vibration at a bridge while preserving a strong signal at a distant gate.	One source configuration must create cancellation and reinforcement at different locations.	maximizes-each-source-independently	gpt-seeded-anthropic-build
a100	Waveguide Switch	wave-boundary-and-superposition	mode-selection	reconfigure-channel	A wide channel supports two visible transverse patterns, and narrow junctions pass only one. Rotating short guide sections converts modes so energy reaches selected branches.	Connectivity is unchanged; propagation depends on wave mode compatibility.	treats-waveguide-as-ordinary-pipe	gpt-seeded-anthropic-build
a101	Diffraction Gate	wave-boundary-and-superposition	aperture-effects	resize-openings	Waves spread after apertures by amounts determined by gap width. The player sizes two openings to illuminate hidden-side receivers while leaving a central absorber dark.	Narrower passages can spread influence more widely, opposing ray-like intuition.	predicts-straight-line-propagation-through-slits	gpt-seeded-anthropic-build
a102	Impedance Steps	wave-boundary-and-superposition	transmission-matching	place-layers	A pulse crossing abrupt material changes partly reflects. The player inserts intermediate layers whose visible stiffness gradually matches both sides, transmitting enough energy to open a gate.	Adding material improves transmission by matching interfaces rather than shortening a path.	removes-intermediate-layers-to-minimize-distance	gpt-seeded-anthropic-build
a103	Resonant Cavity	wave-boundary-and-superposition	frequency-selection	pulse-rhythm	A chamber amplifies only one of several input rhythms determined by its geometry. The player tests short rhythms, modifies one wall, and excites the new resonant mode without triggering neighboring chambers.	Geometry selects temporal frequency and can be deliberately retuned.	repeats-largest-immediate-response-after-retuning	gpt-seeded-anthropic-build
a104	Pulse Packet	wave-boundary-and-superposition	dispersion	shape-input	Different color components travel at different speeds through a channel. The player chooses their initial spacing so they recombine into one packet exactly at a moving receiver.	The solution precompensates for predictable dispersion rather than merely synchronizing emission times.	assumes-components-retain-relative-spacing	gpt-seeded-anthropic-build
a105	Exact Cover Mosaic	combinatorial-packing-and-covering	exact-cover	place-patches	Irregular translucent patches must cover every marked cell exactly once; overlaps turn cells invalid and holes remain visible. Later levels allow patch rotation but introduce mandatory anchor contacts.	The goal distinguishes exact cover from maximal area filling.	accepts-overcoverage-as-progress	gpt-seeded-anthropic-build
a106	Shadow Packing	combinatorial-packing-and-covering	projection-constraints	stack-solids	Objects occupy a small depth stack, and two side projections specify allowed silhouettes. The player packs all objects so neither projection contains gaps or excess cells.	Packing is constrained by multiple projections without reconstructing a single predetermined tower.	satisfies-one-projection-at-a-time	gpt-seeded-anthropic-build
a107	Nesting Cargo	combinatorial-packing-and-covering	containment	pack-hierarchically	Hollow cargo pieces can contain smaller pieces, changing their effective footprint and weight. The player nests and places everything into a hold with both space and balance constraints.	Containment alters the packing items themselves rather than merely their positions.	searches-flat-packing-space	gpt-seeded-anthropic-build
a108	Guillotine Floor	combinatorial-packing-and-covering	recursive-partition	cut-then-fill	A rectangular floor can be divided only by full straight cuts. Given a set of target rectangles, the player chooses a recursive cut tree that produces all pieces without leftovers.	Not every geometric tiling is reachable under guillotine-cut constraints.	finds-valid-layout-with-impossible-cut-order	gpt-seeded-anthropic-build
a109	Hinged Packing	combinatorial-packing-and-covering	configuration-space	fold-and-place	Rigid panels connected by hinges must fold into a compact shape inside a bin. The player may rotate joints only while swept areas remain clear.	Feasible final shapes can still be unreachable because folding paths collide.	checks-final-fit-without-motion-feasibility	gpt-seeded-anthropic-build
a110	Mobile Cover	combinatorial-packing-and-covering	dynamic-coverage	place-patrols	A few sentry pieces sweep repeating visible footprints. The player chooses their start phases and locations so every target cell is visited within a window while no forbidden cell is ever visited.	Coverage is accumulated over time by moving footprints rather than static placement.	optimizes-union-without-timing-window	gpt-seeded-anthropic-build
a111	Occlusion Cover	combinatorial-packing-and-covering	visibility-coverage	place-screens	Screens must hide every fragile object from rotating emitters while leaving every solar receiver visible for at least one phase. A screen may help one phase and hurt another.	The covered sets are phase-dependent visibility regions, not occupied cells.	places-screens-for-single-emitter-phase	gpt-seeded-anthropic-build
a112	Layered Bin	combinatorial-packing-and-covering	access-order	pack-and-retrieve	Cargo is packed into several depth layers, but a later retrieval sequence is shown spatially. The player must fit everything while ensuring each requested piece is exposed when needed.	Packing quality includes future accessibility, preventing dense but unusable solutions.	maximizes-density-and-buries-early-item	gpt-seeded-anthropic-build
a113	Stable Pairing	matching-assignment-and-exchange	preference-stability	propose-and-match	Agents display preferences through geometric proximity demonstrations. The player constructs pairs, and any mutually preferred unmatched pair visibly defects, so the final assignment must be stable.	The criterion is absence of blocking pairs, not maximizing individual matches.	optimizes-local-preferences-with-unstable-global-pairing	gpt-seeded-anthropic-build
a114	Capacity Match	matching-assignment-and-exchange	many-to-one-matching	assign-workers	Colored workers each fit several machines, while machines have capacities and require mixed skill shapes. The player assigns everyone so all lower quotas and compatibility constraints hold.	Recipients accept sets with composition constraints, not single interchangeable occupants.	counts-capacity-without-skill-composition	gpt-seeded-anthropic-build
a115	Rotating Assignment	matching-assignment-and-exchange	dynamic-compatibility	reassign-between-phases	Compatibility edges rotate after each work phase. The player may move only two assignments between phases, so the initial matching must anticipate future edge changes.	Assignment quality is measured across a sequence with limited recourse.	chooses-myopic-perfect-current-matching	gpt-seeded-anthropic-build
a116	Complement Market	matching-assignment-and-exchange	complementarities	bundle-trading	Stations request pairs of shapes whose joint pattern matters more than either shape. The player routes bundles through a swap market where breaking a useful pair can strand both components.	Preferences are over combinations, defeating independent item matching.	assigns-items-separately-and-misses-bundle-value	gpt-seeded-anthropic-build
a117	Fair Split	matching-assignment-and-exchange	envy-freeness	partition-resources	Two receivers value spatial features differently, as shown by prior choices. The player partitions indivisible tiles so neither receiver prefers the other's bundle and both minimum needs are met.	The goal is relational fairness under inferred valuations, not equal counts.	equates-fairness-with-identical-quantity	gpt-seeded-anthropic-build
a118	Bottleneck Match	matching-assignment-and-exchange	minimax-objective	assign-tasks	Carriers have different travel times to tasks. The player assigns all tasks so the slowest completion is as early as possible, with ties exposed by a final synchronized launch.	The objective minimizes the worst assignment rather than total distance.	optimizes-sum-and-leaves-one-extreme-delay	gpt-seeded-anthropic-build
a119	Temporal Booking	matching-assignment-and-exchange	interval-conflicts	book-rooms	Tasks occupy visible time intervals and require one of several rooms with different equipment. The player assigns rooms so overlapping tasks never conflict and every equipment need is met.	Compatibility is temporal and resource-specific, not spatial adjacency.	matches-equipment-without-checking-overlap	gpt-seeded-anthropic-build
a120	Chain Exchange	matching-assignment-and-exchange	cycle-clearing	swap-ownership	Every agent holds one object and wants another, but direct swaps are allowed only when both improve. The player identifies and triggers exchange cycles that clear all desires simultaneously.	Progress may require a cycle commit because no pairwise trade is sufficient.	searches-only-bilateral-swaps	gpt-seeded-anthropic-build
a121	All But One	relational-logic-and-quantifiers	quantifier-reasoning	select-object	Objects vary on several grounded visual relations. A gate accepts the unique object related correctly to every reference object except exactly one, with examples establishing the quantifier pattern.	The category depends on counting relation violations, not matching surface features.	uses-majority-similarity-instead-of-quantifier	gpt-seeded-anthropic-build
a122	Between Lines	relational-logic-and-quantifiers	ternary-relations	place-object	Three-body relations such as spatial betweenness are demonstrated across rotated scenes. The player places a new body to satisfy several simultaneous ternary constraints.	No pairwise relation alone determines the answer.	reduces-ternary-constraint-to-nearest-neighbor	gpt-seeded-anthropic-build
a123	Same Row Different Role	relational-logic-and-quantifiers	role-binding	permute-objects	A grid of agents must preserve row-based teams while ensuring no column repeats a learned functional role. Roles are inferred from behavior and survive appearance changes.	Two equivalence relations must be satisfied simultaneously on different axes.	binds-role-to-color-instead-of-relations	gpt-seeded-anthropic-build
a124	Exists Exactly One	relational-logic-and-quantifiers	existential-uniqueness	configure-scene	Levers add or remove adjacency links. The target is a scene where each green object has exactly one red neighbor, while at least one blue object has none.	Nested existence and uniqueness constraints are grounded in geometry.	checks-presence-without-uniqueness	gpt-seeded-anthropic-build
a125	Nested Neighborhood	relational-logic-and-quantifiers	second-order-neighborhood	mark-nodes	In a graph drawn as rooms and doors, the player marks every node whose neighbors all have at least one marked neighbor of another kind. Marks change the relation being evaluated.	The property quantifies over neighbors of neighbors and is self-referential during construction.	evaluates-only-immediate-neighborhood	gpt-seeded-anthropic-build
a126	Relation Closure	relational-logic-and-quantifiers	transitive-closure	add-links	Observed moves demonstrate a directed reachability relation. The player adds the fewest shortcut links so every member of one region can reach every member of another.	The relevant relation is path reachability, not direct adjacency.	confuses-direct-edge-with-transitive-reach	gpt-seeded-anthropic-build
a127	Triad Ban	relational-logic-and-quantifiers	hypergraph-constraints	place-colors	Each translucent triangle connects three cells that may not all share the same state. The player fills the board while satisfying overlapping triple constraints and fixed seeds.	Constraints live on triples rather than ordinary neighboring pairs.	applies-pairwise-coloring-heuristic	gpt-seeded-anthropic-build
a128	Majority Relation	relational-logic-and-quantifiers	aggregation	move-partition	A movable divider changes which objects count as neighbors. Each object's next state follows the majority relation in its region, and the player positions the divider to produce a target update.	The action changes the quantified population before a simultaneous relational update.	counts-current-states-without-recomputing-membership	gpt-seeded-anthropic-build
a129	Canonical Room	symmetry-breaking-and-canonicalization	normal-form	rotate-and-reflect	Several rooms are equivalent under rotation and reflection. The player must transform each into the same canonical orientation selected by an asymmetrically placed external anchor.	Any equivalence is insufficient; the external anchor defines one reproducible representative.	stops-at-arbitrary-symmetric-equivalent	gpt-seeded-anthropic-build
a130	Leader Tile	symmetry-breaking-and-canonicalization	leader-election	local-signals	Identical agents on a symmetric ring exchange only neighbor pulses. One off-ring landmark breaks symmetry, and the player configures local rules so exactly one agent becomes leader.	The task exposes why symmetry-breaking information is necessary for unique roles.	elects-multiple-symmetric-leaders	gpt-seeded-anthropic-build
a131	Symmetry Breaker	symmetry-breaking-and-canonicalization	minimal-asymmetry	place-marker	A machine jams while several parts remain rotationally symmetric. The player may add one tiny marker whose position causes a deterministic scanner to visit every part exactly once.	One low-bandwidth asymmetry changes global traversal behavior.	adds-marker-that-breaks-look-but-not-process-symmetry	gpt-seeded-anthropic-build
a132	Orbit Representative	symmetry-breaking-and-canonicalization	equivalence-classes	select-cells	Board transformations group cells into orbits. The player selects exactly one cell from each orbit, with later levels combining two generators rather than showing full symmetry.	Coverage is over transformation equivalence classes rather than geometric regions.	overcounts-cells-related-by-generated-transformations	gpt-seeded-anthropic-build
a133	Anonymous Robots	symmetry-breaking-and-canonicalization	indistinguishability	assign-roles	Identical robots begin in a symmetric chamber and follow the same commands. The player first changes the environment to create distinguishable local views, then assigns complementary jobs.	Roles cannot be assigned until observations break anonymity.	issues-role-commands-before-identities-are-grounded	gpt-seeded-anthropic-build
a134	Tie Break	symmetry-breaking-and-canonicalization	deterministic-choice	configure-priority	Several equal routes reach a gate, but downstream behavior requires every agent to choose the same one. The player arranges a geometric priority cue that consistently resolves otherwise exact ties.	The environment tests construction of a shared canonical choice, not shortest-path discovery.	assumes-identical-agents-share-unstated-tie-break	gpt-seeded-anthropic-build
a135	Asymmetric Seed	symmetry-breaking-and-canonicalization	pattern-growth	place-one-seed	A perfectly symmetric cellular pattern grows into repeated collisions. Adding one seed cell at the correct equivalence class breaks symmetry and yields a single traveling structure.	A tiny initial asymmetry selects one macroscopic evolution among equivalent possibilities.	searches-large-edits-instead-of-symmetry-class	gpt-seeded-anthropic-build
a136	Normal Form	symmetry-breaking-and-canonicalization	rewrite-normalization	apply-local-rules	Many sequences of reversible local rewrites produce equivalent diagrams. The player discovers a terminating orientation convention and reduces every diagram to the same normal form.	The challenge is canonicalization under rewrites, not reaching one pictured target from one start.	uses-nonterminating-equivalent-rewrite-cycles	gpt-seeded-anthropic-build
a137	Undo Group	reversible-transformation-algebra	inverse-operations	compose-actions	Each machine action has a visually demonstrated inverse, but the controls are unlabeled. The player returns several scrambled objects to origins by composing inferred inverses in reverse order.	Reversal requires algebraic action order, not a dedicated undo button or time rewind.	applies-inverses-in-forward-order	gpt-seeded-anthropic-build
a138	Commutator Lock	reversible-transformation-algebra	noncommutativity	sequence-transformations	Two transformations individually preserve a lock pattern, yet applying A-B-A-inverse-B-inverse moves one hidden marker. The player exploits this commutator to isolate the marker without disturbing others.	The useful effect exists only because operations do not commute.	treats-orderings-as-equivalent	gpt-seeded-anthropic-build
a139	Inverse Pair	reversible-transformation-algebra	latent-inverses	match-machines	Several machines permute colors and positions. The player pairs each with its inverse by testing compositions, then routes cargo through pairs that restore appearance while changing location.	Inverse identity is discovered through composition, not visual opposition.	matches-machines-by-surface-similarity	gpt-seeded-anthropic-build
a140	Conjugate Corridor	reversible-transformation-algebra	change-of-basis	transform-controls	A familiar movement operation acts differently inside a rotated lattice. Wrapping it between entry and exit transformations reproduces the needed local move in global coordinates.	The same operation is transported between representations through conjugation.	memorizes-separate-local-action-without-basis-change	gpt-seeded-anthropic-build
a141	Reversible Scrambler	reversible-transformation-algebra	information-preservation	build-network	The player connects swap and controlled-swap gates into a network that rearranges tokens yet can be run backward from any output. One-way merges are tempting but invalidate the test.	Every intermediate transformation must preserve enough information for universal reversal.	uses-lossy-shortcut-that-fits-one-example	gpt-seeded-anthropic-build
a142	Cycle Basis	reversible-transformation-algebra	permutation-cycles	select-generators	Available moves rotate overlapping subsets of pieces. The player identifies a small set of cycle generators and combines them to realize several requested permutations efficiently.	Planning occurs in a generated transformation space rather than direct piece movement.	searches-pixel-states-without-cycle-structure	gpt-seeded-anthropic-build
a143	Return Parity	reversible-transformation-algebra	reachability-invariant	predict-reachability	A reversible sliding mechanism admits many arrangements but divides them into two unreachable classes. Demonstrations expose the invariant, and the player must choose which of two targets is actually reachable before acting.	The main decision is algebraic reachability, preventing futile search toward an impossible target.	assumes-reversibility-implies-full-connectivity	gpt-seeded-anthropic-build
a144	Group Walk	reversible-transformation-algebra	word-reduction	navigate-transform-space	A token's displayed pose represents the cumulative product of directional transformations. The player reaches a goal pose using a short word while canceling adjacent inverse pairs and exploiting repeated subwords.	Spatial movement is a visualization of abstract transformation composition.	tracks-location-without-cumulative-transformation	gpt-seeded-anthropic-build
a145	Self or Wind	agency-and-causal-attribution	exogenous-disturbance	act-and-compare	Objects move after every action, but some displacement comes from the player's command and some from a periodic wind. Null actions and direction reversals let the player separate self-caused from external motion.	The same observed transition contains both endogenous and exogenous causes.	claims-agency-over-correlated-environmental-motion	gpt-seeded-anthropic-build
a146	Hidden Puppeteer	agency-and-causal-attribution	common-controller	multi-object-probing	Several creatures move in apparent coordination. The player blocks selected creatures and discovers that one hidden controller drives a subset while the others merely follow local cues.	Correlated agents may share a cause rather than communicate with one another.	infers-direct-interaction-from-correlation	gpt-seeded-anthropic-build
a147	Common Cause	agency-and-causal-attribution	causal-confounding	intervene-on-mediator	Two lamps always change together, suggesting a link. By shielding one upstream sensor, the player reveals their shared external trigger and routes a final signal correctly.	Observation supports a false direct edge until a targeted intervention separates common cause from mediation.	confuses-correlation-with-direct-causation	gpt-seeded-anthropic-build
a148	Reactive Floor	agency-and-causal-attribution	affordance-vs-agent	counterfactual-motion	A floor pattern moves around the player as if chasing, but replaying the same route from a different start reveals a fixed reactive field. The player predicts it without assigning persistent goals.	Goal-like behavior emerges from a stateless response rule.	anthropomorphizes-reactive-dynamics	gpt-seeded-anthropic-build
a149	Controllable Object	agency-and-causal-attribution	controllability	limited-interventions	Among many moving pieces, exactly one is weakly steerable while all share similar trajectories. The player uses a few orthogonal commands to identify it and guide only that piece to a socket.	Agency is identified by counterfactual controllability, not visual salience.	selects-object-with-best-natural-motion	gpt-seeded-anthropic-build
a150	Intent Trace	agency-and-causal-attribution	goal-inference	alter-environment	An autonomous walker takes the same path toward one of several possible goals. The player moves one obstacle and observes replanning, distinguishing its goal from a memorized route before assisting it.	Environmental intervention separates goal-directed planning from trajectory replay.	infers-goal-from-single-path	gpt-seeded-anthropic-build
a151	Delayed Agency	agency-and-causal-attribution	temporal-credit	issue-tagged-commands	The player can tag commands with colors, but each is executed by one of several devices after different delays. Matching delayed colored effects reveals which device each control influences.	Explicit tags aid temporal attribution while heterogeneous delays prevent adjacency heuristics.	binds-command-to-wrong-delayed-device	gpt-seeded-anthropic-build
a152	Body Boundary	agency-and-causal-attribution	embodiment	probe-connected-parts	A cluster contains limbs, carried tools, passengers, and nearby followers that all move partly together. The player probes joints and obstacles to infer which cells belong to the controllable body before fitting through a gate.	Embodiment is discovered through intervention-dependent co-motion, not contiguous pixels.	equates-visual-connectedness-with-body-membership	gpt-seeded-anthropic-build
a153	Family Resemblance	concept-boundary-and-category-induction	prototype-categories	classify-and-route	Training objects share overlapping subsets of features, but no single feature is necessary. The player routes new objects using graded family resemblance while rejecting a tempting one-feature rule.	The class is prototype-like rather than a clean conjunction.	searches-for-single-defining-feature	gpt-seeded-anthropic-build
a154	Rule Boundary	concept-boundary-and-category-induction	decision-boundary	query-examples	Objects vary continuously in two spatial features. A few labeled examples define an oblique category boundary, and the player chooses informative queries before classifying a final batch.	The relevant boundary combines features rather than thresholding either independently.	learns-axis-aligned-threshold	gpt-seeded-anthropic-build
a155	Exception Ladder	concept-boundary-and-category-induction	hierarchical-exceptions	apply-category	A broad visual rule has a nested exception and an exception-to-the-exception, each introduced by demonstrations. The player classifies a final scene by applying the most specific matching rule.	Category membership follows a specificity hierarchy, not a global regime change.	overrides-base-rule-with-all-exceptions	gpt-seeded-anthropic-build
a156	Prototype Drift	concept-boundary-and-category-induction	online-categories	update-prototype	The accepted object's appearance shifts slightly after every success. The player tracks a slowly moving category prototype while old examples remain displayed as stale evidence.	The concept evolves locally rather than switching between discrete known rules.	averages-all-history-and-lags-drift	gpt-seeded-anthropic-build
a157	Disjunctive Class	concept-boundary-and-category-induction	logical-categories	select-members	Positive examples form two visually distant clusters joined by a relational property; negative examples occupy the apparent middle. The player discovers the disjunctive rule and selects all members.	A single similarity centroid misclassifies the category.	forces-one-convex-category-cluster	gpt-seeded-anthropic-build
a158	Relational Category	concept-boundary-and-category-induction	contextual-membership	move-context	An object's class depends on whether it is the smallest in its local group, not its absolute size. The player rearranges groups, causing category membership to change without changing any object.	Membership is relational and context-sensitive rather than intrinsic.	binds-class-to-object-appearance	gpt-seeded-anthropic-build
a159	Negative Space Class	concept-boundary-and-category-induction	complement-shape	match-objects	Solid pieces are categorized by the shape of the empty region they enclose. The player pairs visually dissimilar pieces that generate equivalent holes under rotation.	The diagnostic feature is structured absence rather than filled pixels.	compares-foreground-contours-only	gpt-seeded-anthropic-build
a160	Cross-Modal Category	concept-boundary-and-category-induction	structural-correspondence	transfer-classification	Categories are taught through motion trajectories and tested on static spatial arrangements encoding the same relation graph. The player must preserve the concept across modalities.	The transfer changes representation while retaining relational category structure.	memorizes-modality-specific-features	gpt-seeded-anthropic-build
a161	Frontier Marks	systematic-search-and-coverage	frontier-management	navigate-and-mark	A maze gradually hides explored passages, but the player may leave a few movable frontier markers. Correct marker placement supports complete exploration without repeatedly traversing closed subtrees.	The scarce resource represents search frontier state rather than map revelation.	loses-which-branches-remain-unexplored	gpt-seeded-anthropic-build
a162	Survey Ribbon	systematic-search-and-coverage	boundary-inspection	trace-with-cost	A scanner must observe every boundary segment of several irregular islands and return to its dock. Crossing an already scanned segment drains a shared battery, rewarding an organized survey rather than wandering.	Coverage applies to object boundaries with costly retracing, not to visiting every floor cell.	repeatedly-rechecks-known-boundaries	gpt-seeded-anthropic-build
a163	Branch and Bound	systematic-search-and-coverage	lower-bounds	explore-partial-solutions	Partial construction branches display a guaranteed minimum remaining footprint. The player abandons branches whose bound already exceeds the best complete design and finds the smallest valid structure.	Visible lower bounds make principled pruning the intended mechanic.	explores-dominated-branches-to-completion	gpt-seeded-anthropic-build
a164	Bidirectional Hunt	systematic-search-and-coverage	meet-in-the-middle	expand-frontiers	A transformation maze is too deep from either end alone, but states reached from the start and target can be grown as colored frontiers until they meet.	The target may be expanded backward using reversible transitions, rewarding meet-in-the-middle search.	searches-only-forward-and-exhausts-budget	gpt-seeded-anthropic-build
a165	Landmark Search	systematic-search-and-coverage	heuristic-distance	select-landmarks	A large repetitive map has a few unique landmarks whose distance bands are visible. The player chooses which landmark relation to follow at each junction and reaches a hidden goal efficiently.	Search guidance comes from relational landmark coordinates, not a complete map or gradient.	ignores-global-landmark-constraints	gpt-seeded-anthropic-build
a166	Iterative Deepening	systematic-search-and-coverage	bounded-search	set-depth-pulses	A probe explores every action sequence up to a chosen depth and highlights whether a goal was found, but larger bounds cost sharply more. The player increases bounds carefully and then executes the discovered short plan.	The environment makes depth limits explicit and rewards completeness without one huge search.	commits-to-excessive-depth-immediately	gpt-seeded-anthropic-build
a167	Symmetry Pruning	systematic-search-and-coverage	equivalent-branches	mark-representatives	A branching room repeats under rotations. The player identifies equivalent unexplored branches and marks one representative per symmetry class before a search automaton begins.	Efficient coverage depends on quotienting symmetric branches, not canonicalizing final states.	explores-rotated-duplicates	gpt-seeded-anthropic-build
a168	Dynamic Frontier	systematic-search-and-coverage	changing-search-space	adaptive-exploration	Each inspected region opens one new corridor and closes another according to a visible local rule. The player maintains a frontier of still-reachable unknown regions and avoids orphaning them.	Exploration actions change future reachability without permanently consuming visited cells.	uses-static-frontier-after-topology-update	gpt-seeded-anthropic-build
a169	Same Future	state-abstraction-and-equivalence	behavioral-equivalence	merge-states	Several visually different machine states produce identical responses to every available action. The player merges equivalent states into shared bins, then predicts transitions of the compressed machine.	Equivalence is defined by future behavior, not visual or historical similarity.	refuses-to-merge-appearance-different-states	gpt-seeded-anthropic-build
a170	Quotient Rooms	state-abstraction-and-equivalence	equivalence-classes	navigate-abstractly	Rooms differ in decoration but share repeated transition structure. The player discovers equivalence classes and plans on the smaller quotient graph to reach any room with a target property.	The route goal is class-based and efficient planning requires collapsing redundant concrete rooms.	plans-over-every-concrete-room-separately	gpt-seeded-anthropic-build
a171	Irrelevant Paint	state-abstraction-and-equivalence	nuisance-variables	predict-outcomes	Every action randomly cycles decorative border colors while core object relations evolve deterministically. The player selects which state features to copy into a limited memory panel for later prediction.	A high-change visual variable is causally irrelevant and competes for memory.	tracks-salient-nuisance-state	gpt-seeded-anthropic-build
a172	Minimal Memory	state-abstraction-and-equivalence	sufficient-statistic	configure-memory	A long observation stream drives a gate, but only one compact statistic of prior events determines the next state. The player builds a tiny memory machine that preserves exactly that statistic.	Success requires discovering sufficient state rather than replaying or compressing the full history.	stores-recent-events-instead-of-sufficient-summary	gpt-seeded-anthropic-build
a173	Predictive Partition	state-abstraction-and-equivalence	model-compression	group-observations	The player groups observed configurations into a limited number of bins. Future transition tests reward groupings whose members have the same next-state distribution under every action.	The abstraction is evaluated by predictive consistency across actions.	clusters-by-current-similarity-only	gpt-seeded-anthropic-build
a174	Bisimulation Bridge	state-abstraction-and-equivalence	cross-world-equivalence	pair-states	Two differently rendered worlds expose related action graphs. The player pairs states so every move in one has a matching move in the other, then transfers a route.	Correspondence requires reciprocal transition matching, stronger than one-way analogy.	pairs-states-by-static-layout	gpt-seeded-anthropic-build
a175	Macro State	state-abstraction-and-equivalence	timescale-separation	choose-snapshots	Fast internal particles cycle through many microstates while a slow machine mode changes only at specific aggregate patterns. The player samples and acts at the macro-state level.	Many microstates share the same controllable future until a macro transition occurs.	reacts-to-every-microstate-change	gpt-seeded-anthropic-build
a176	Alias Breaker	state-abstraction-and-equivalence	state-refinement	add-one-feature	Two observations look identical but require different actions because of hidden history. The player chooses one additional sensor feature that splits only the aliased states while leaving other abstractions merged.	The task refines an abstraction minimally instead of abandoning it wholesale.	retains-invalid-aggregation-or-memorizes-all-details	gpt-seeded-anthropic-build
a177	Constructive Gate	proof-witness-and-counterexample	witness-construction	build-example	A gate states its requirement through several visual demonstrations of a relational property. Rather than answer yes or no, the player must construct one new configuration that visibly witnesses the property.	Evaluation demands a constructive witness, excluding pattern recognition without synthesis.	recognizes-rule-but-cannot-construct-instance	gpt-seeded-anthropic-build
a178	Counterexample Garden	proof-witness-and-counterexample	falsification	grow-exception	A proposed growth rule matches every displayed plant. The player receives a small edit budget and must create the smallest plant whose next growth contradicts the rule.	The goal is targeted falsification, not discovering the true replacement rule.	keeps-confirming-current-hypothesis	gpt-seeded-anthropic-build
a179	Invariant Witness	proof-witness-and-counterexample	certificate	select-substructure	A large transformation is claimed impossible. The player selects a small colored substructure whose preserved parity or connectivity certifies that no action sequence can reach the target.	An impossibility judgment must be accompanied by a visible invariant certificate.	guesses-unreachability-from-search-failure	gpt-seeded-anthropic-build
a180	Unsat Core	proof-witness-and-counterexample	minimal-conflict	remove-constraints	An overconstrained layout has no solution. The player highlights the smallest subset of translucent constraints that is already contradictory, causing the rest to fade.	The output is a minimal explanation of failure rather than a near-solution.	identifies-many-involved-but-nonminimal-constraints	gpt-seeded-anthropic-build
a181	Certificate Path	proof-witness-and-counterexample	verifiable-plan	lay-checkpoints	A maze route may pass through hidden one-way doors. The player lays a sparse sequence of checkpoint arrows such that a simple verifier can confirm every segment without replaying all movement.	The artifact is a compact independently checkable certificate of reachability.	produces-path-without-verification-boundaries	gpt-seeded-anthropic-build
a182	Minimal Obstruction	proof-witness-and-counterexample	forbidden-minor	delete-until-critical	A transport network fails a target property. The player removes irrelevant nodes until every remaining node is necessary for the failure, exposing a minimal obstruction.	Understanding is measured by isolating the causal core, not repairing the network.	retains-superfluous-structure-in-explanation	gpt-seeded-anthropic-build
a183	Universal Tester	proof-witness-and-counterexample	adversarial-verification	choose-test-suite	Several candidate machines agree on common inputs but differ on edge cases. The player selects a tiny set of test patterns that distinguishes every pair before one unknown machine is presented.	A test suite must cover a hypothesis set universally, not diagnose one known defect.	selects-redundant-tests-that-miss-candidate-pair	gpt-seeded-anthropic-build
a184	Proof by Tiling	proof-witness-and-counterexample	constructive-decomposition	partition-region	A complex region is accepted only when partitioned into copies of a demonstrated primitive whose local validity is easy to see. The player supplies the decomposition as the proof.	The solution carries its own spatial verification structure.	matches-total-area-without-valid-decomposition	gpt-seeded-anthropic-build
